~AreaKey,~AreaName,~Region
000,テスト用領域,テスト用領域
001,Test,ベリア村
002,大海原,ベリア村
003,バレノス湾,ベリア村
004,バレノス平原,ベリア村
005,ベリア村,ベリア村
006,アグリス草原,西部警備キャンプ
007,アグリス祭壇,西部警備キャンプ
008,フレーメの丘,西部警備キャンプ
009,西部警備キャンプ,西部警備キャンプ
010,隠遁の森,西部警備キャンプ
011,バレノスの森,ベリア村
012,略奪の森,ベリア村
013,アイワミーの丘,ベリア村
014,クロン城跡,ベリア村
015,クロン城,ベリア村
016,バルタリ農場,ベリア村
017,ピント農場,ベリア村
018,ロッジア農場,ベリア村
019,マリノ農場,ベリア村
020,トスカーニ農場,西部警備キャンプ
021,デルーチ農場,ベリア村
022,ピアザ農場の廃墟,ベリア村
023,納骨堂,ベリア村
024,海岸の洞窟,ベリア村
025,インプの洞窟,西部警備キャンプ
026,古代の石室,西部警備キャンプ
027,バレノス山脈,ベリア村
028,ハイデル峡谷,ベリア村
029,ヤギ尾根,ハイデル都市
030,ハイデル城,ハイデル都市
031,北部警備キャンプ,ハイデル都市
032,ハイデル都市,ハイデル都市
033,ハイデル北部採石場,ハイデル都市
034,王の森,ハイデル都市
035,セレンディア北部平原,ハイデル都市
036,ハイデル北部高原,ハイデル都市
037,グリッシー沼,グリッシー村
038,デミ川辺,ハイデル都市
039,デミ川,ハイデル都市
040,セレンディア南部平原,グリッシー村
041,魔法使いの祭壇,ハイデル都市
042,穀倉地帯,モレッティ巨大農場
043,南部山脈,グリッシー村
044,西部の崖,グリッシー村
045,北部中立地域,ハイデル都市
046,南部中立地域,グリッシー村
047,中部中立地域,グリッシー村
048,中立地帯渓谷間道,グリッシー村
049,ナーガ湿地,グリッシー村
050,フォガン湿地,グリッシー村
051,抽出場,グリッシー村
052,グリッシー村,グリッシー村
053,グリッシー廃墟,グリッシー村
054,北部沼地,グリッシー村
055,南部沼地,グリッシー村
056,中部警備キャンプ,グリッシー村
057,南部警備キャンプ,グリッシー村
058,北西部関所,グリッシー村
059,東部関所,モレッティ巨大農場
060,アレハンドロ農場,ハイデル都市
061,コスタ農場,グリッシー村
062,モレッティ巨大農場,モレッティ巨大農場
063,リンチ農場廃墟,ハイデル都市
064,デルニール農場,グリッシー村
065,エルダ農場,グリッシー村
066,祭壇インプ平原,ハイデル都市
067,ブラッディ修道院,グリッシー村
068,修道院水源地,グリッシー村
069,死の巡礼路,グリッシー村
070,クザカ神殿,モレッティ巨大農場
071,廃城跡,モレッティ巨大農場
072,監視塔,グリッシー村
073,ビラーギ山塞,ハイデル都市
074,オークキャンプ,グリッシー村
075,ブレディー砦,グリッシー村
076,南部山脈,グリッシー村
077,カルフェオン首都,カルフェオン首都
078,砂漠地域,アルティノ
079,その他の国,アルティノ
080,カルフェオン領地,カルフェオン首都
081,第2領地,アルティノ
082,第3領地,アルティノ
083,第5領地,アルティノ
084,南西部関所,グリッシー村
